TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD,Latitude,Longitude
Terrorism,2017,8,11,0,46,Parklands,-1.261286851,36.81704796
Drug Charges,2020,10,13,8,30,Parklands,-1.260482383,36.80860436
Drug Charges,2020,6,9,18,55,Githurai,-1.203064589,36.9597901
Carjacking,2017,3,13,21,7,South C,-1.315895748,36.82659496
Drug Charges,2019,1,1,15,35,Ngong,-1.349746111,36.65120556
Terrorism,2020,10,17,15,59,Kibera,-1.310631395,36.79153345
Sexual Assault,2017,6,30,7,43,Thika,-1.055464524,37.10123903
Pick Pocketing,2019,4,25,1,25,South C,-1.315895748,36.82659496
Drug Charges,2017,2,18,5,10,Kibera,-1.314278242,36.79372214
Terrorism,2020,1,13,0,59,South C,-1.327136577,36.82569374
Carjacking,2018,7,26,3,38,Kahawa West,-1.186717399,36.9032706
Carjacking,2018,9,8,0,15,South B,-1.309873212,36.83713094
Sexual Assault,2017,10,26,6,27,Githurai,-1.203064589,36.9597901
Fraud,2017,4,24,20,2,Githurai,-1.210787637,36.91850554
Armed Robbery,2018,4,21,16,50,South C,-1.315895748,36.82659496
Sexual Assault,2017,4,7,16,38,Kahawa West,-1.181697376,36.90348517
Fraud,2017,12,7,20,54,South C,-1.312034383,36.82256092
Terrorism,2017,7,19,15,43,UpperHill,-1.299707944,36.80938757
Pick Pocketing,2018,3,30,10,45,Kibera,-1.3159515,36.79043911
Fraud,2020,9,24,10,26,Kahawa West,-1.188605268,36.89691913
Pick Pocketing,2020,2,3,13,8,Thika,-1.048427594,37.07454568
Terrorism,2018,9,21,10,19,South B,-1.315525825,36.83550016
Carjacking,2017,3,24,3,14,Parklands,-1.260482383,36.80860436
Drug Charges,2019,11,14,24,0,Kibera,-1.314278242,36.79372214
Armed Robbery,2018,5,2,8,20,Ngong,-1.349746111,36.65120556
Road Carnage,2020,5,1,5,59,South C,-1.327136577,36.82569374
Road Carnage,2017,4,29,16,13,Parklands,-1.25514071,36.80907643
Pick Pocketing,2019,5,2,5,52,UpperHill,-1.298163388,36.81816375
Terrorism,2017,10,11,15,20,South C,-1.327136577,36.82569374
Drug Charges,2020,12,24,20,42,South B,-1.309572883,36.83095113
Drug Charges,2017,4,23,11,0,Uhuru Park,-1.29116194,36.81595167
Terrorism,2020,2,21,4,27,Githurai,-1.204866636,36.92777526
Armed Robbery,2018,10,29,0,29,Uhuru Park,-1.29116194,36.81595167
Road Carnage,2020,5,22,7,41,Kibera,-1.314278242,36.79372214
Drug Charges,2019,10,19,11,58,Kibera,-1.313377257,36.79784201
Terrorism,2020,10,22,24,4,South B,-1.315525825,36.83550016
Road Carnage,2019,6,22,12,2,Ngong,-1.361415817,36.66742756
Road Carnage,2017,12,15,17,30,South B,-1.314378142,36.83863298
Armed Robbery,2017,6,25,9,48,South B,-1.309873212,36.83713094
Fraud,2020,5,2,13,28,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2017,1,19,0,34,Kahawa West,-1.188605268,36.89691913
Carjacking,2020,8,8,23,24,South B,-1.309572883,36.83095113
Terrorism,2018,11,29,14,11,Thika,-1.028089061,37.06853754
Terrorism,2017,5,6,11,45,Ngong,-1.375659647,36.6759248
Carjacking,2017,2,24,2,45,Kibera,-1.313956462,36.79674767
Pick Pocketing,2020,12,19,9,29,Githurai,-1.204866636,36.92777526
Carjacking,2020,10,14,14,56,Uhuru Park,-1.288523315,36.81737861
Carjacking,2020,5,8,8,39,South B,-1.309873212,36.83713094
Drug Charges,2017,10,2,1,30,Thika,-1.028089061,37.06853754
Sexual Assault,2018,4,29,0,14,Kibera,-1.313377257,36.79784201
Armed Robbery,2020,2,24,23,30,Thika,-1.048427594,37.07454568
Road Carnage,2018,4,28,13,3,Thika,-1.048427594,37.07454568
Carjacking,2020,1,31,18,45,Kahawa West,-1.181697376,36.90348517
Road Carnage,2017,11,2,13,41,Thika,-1.055464524,37.10123903
Carjacking,2017,5,21,2,42,Thika,-1.055464524,37.10123903
Pick Pocketing,2017,4,30,11,52,South B,-1.314378142,36.83863298
Fraud,2017,3,17,20,12,Githurai,-1.204866636,36.92777526
Road Carnage,2017,6,15,5,36,Uhuru Park,-1.288523315,36.81737861
Terrorism,2018,7,30,8,3,Kahawa West,-1.187060648,36.8999232
Terrorism,2019,11,11,14,3,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2018,8,27,16,30,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2018,5,1,0,1,South C,-1.327222385,36.83938373
Armed Robbery,2017,7,7,12,18,South C,-1.312034383,36.82256092
Armed Robbery,2020,6,24,16,6,UpperHill,-1.30067329,36.81582487
Carjacking,2017,7,28,1,7,Githurai,-1.203965613,36.91241157
Armed Robbery,2018,8,3,7,39,Ngong,-1.361415817,36.66742756
Pick Pocketing,2019,1,19,2,3,Ngong,-1.349746111,36.65120556
Fraud,2020,10,27,9,56,UpperHill,-1.298549527,36.81274569
Pick Pocketing,2017,4,10,20,34,South C,-1.309374327,36.82633747
Pick Pocketing,2020,9,31,14,34,Thika,-1.055464524,37.10123903
Drug Charges,2019,1,12,20,44,Kahawa West,-1.181697376,36.90348517
Armed Robbery,2018,4,27,16,30,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2020,6,3,9,19,Parklands,-1.260482383,36.80860436
Road Carnage,2019,12,4,19,21,South C,-1.327222385,36.83938373
Drug Charges,2018,12,9,22,23,Githurai,-1.203064589,36.9597901
Pick Pocketing,2020,7,25,8,16,Githurai,-1.203965613,36.91241157
Carjacking,2018,2,27,15,6,Thika,-1.03581257,37.08390123
Terrorism,2018,11,31,12,17,Githurai,-1.204866636,36.92777526
Fraud,2018,3,14,10,50,Kibera,-1.313956462,36.79674767
Terrorism,2018,11,7,23,15,Thika,-1.03581257,37.08390123
Terrorism,2018,8,7,15,33,Thika,-1.048427594,37.07454568
Pick Pocketing,2017,4,29,5,50,Kibera,-1.313956462,36.79674767
Terrorism,2019,7,24,10,30,South C,-1.309374327,36.82633747
Terrorism,2019,10,2,20,8,Kahawa West,-1.186717399,36.9032706
Armed Robbery,2017,11,11,0,43,South C,-1.315895748,36.82659496
Fraud,2018,12,26,11,17,UpperHill,-1.299707944,36.80938757
Road Carnage,2017,4,7,19,54,Kibera,-1.313956462,36.79674767
Drug Charges,2017,5,19,0,45,Uhuru Park,-1.291912768,36.81687435
Terrorism,2017,7,19,2,53,Kibera,-1.3159515,36.79043911
Sexual Assault,2017,1,26,3,7,South C,-1.315895748,36.82659496
Fraud,2019,7,12,5,41,Kibera,-1.310631395,36.79153345
Sexual Assault,2020,8,13,10,6,Kibera,-1.310631395,36.79153345
Sexual Assault,2020,4,7,3,7,Uhuru Park,-1.2903935,36.8165834
Fraud,2017,7,10,23,32,Githurai,-1.204866636,36.92777526
Terrorism,2017,9,3,22,26,Kibera,-1.313377257,36.79784201
Pick Pocketing,2019,11,31,17,51,Kibera,-1.310631395,36.79153345
Terrorism,2019,11,7,6,19,Kahawa West,-1.187060648,36.8999232
Sexual Assault,2019,7,19,21,56,South C,-1.312034383,36.82256092
Road Carnage,2019,8,9,19,19,Parklands,-1.260482383,36.80860436
Drug Charges,2018,7,8,3,50,Kahawa West,-1.181697376,36.90348517
Terrorism,2020,3,23,5,29,UpperHill,-1.30067329,36.81582487
Sexual Assault,2020,1,18,5,20,Ngong,-1.349746111,36.65120556
Carjacking,2017,7,8,0,16,Kibera,-1.313377257,36.79784201
Sexual Assault,2018,11,26,12,38,South C,-1.327136577,36.82569374
Armed Robbery,2018,3,14,18,34,UpperHill,-1.298549527,36.81274569
Pick Pocketing,2020,6,28,23,38,South B,-1.309572883,36.83095113
Armed Robbery,2020,3,30,5,23,Thika,-1.028089061,37.06853754
Sexual Assault,2020,1,6,22,31,South B,-1.314378142,36.83863298
Drug Charges,2019,3,25,12,5,Kibera,-1.314278242,36.79372214
Pick Pocketing,2018,1,19,12,52,UpperHill,-1.30067329,36.81582487
Carjacking,2018,3,3,19,2,UpperHill,-1.299707944,36.80938757
Armed Robbery,2018,10,30,3,39,South C,-1.327136577,36.82569374
Armed Robbery,2018,2,21,4,11,South B,-1.314378142,36.83863298
Road Carnage,2017,12,17,19,49,Ngong,-1.375659647,36.6759248
Drug Charges,2017,5,17,8,48,Githurai,-1.210787637,36.91850554
Terrorism,2019,5,26,7,46,UpperHill,-1.30067329,36.81582487
Road Carnage,2019,9,17,0,13,Parklands,-1.259163055,36.8206743
Pick Pocketing,2017,3,2,0,21,Ngong,-1.366907424,36.67197658
Road Carnage,2019,10,21,8,51,Kibera,-1.313377257,36.79784201
Carjacking,2017,2,4,14,12,Kahawa West,-1.187060648,36.8999232
Carjacking,2017,3,19,3,12,Uhuru Park,-1.29116194,36.81595167
Fraud,2017,8,21,9,26,South C,-1.327222385,36.83938373
Terrorism,2017,12,22,1,14,Githurai,-1.203965613,36.91241157
Terrorism,2018,9,9,17,14,Githurai,-1.204866636,36.92777526
Road Carnage,2017,7,25,17,26,South B,-1.309873212,36.83713094
Road Carnage,2020,4,3,24,42,South B,-1.309873212,36.83713094
Terrorism,2017,12,12,12,9,South B,-1.315525825,36.83550016
Fraud,2019,6,7,17,49,UpperHill,-1.298163388,36.81816375
Drug Charges,2019,5,8,21,1,South B,-1.314378142,36.83863298
Pick Pocketing,2017,2,11,24,49,Ngong,-1.361415817,36.66742756
Pick Pocketing,2019,4,5,2,23,Thika,-1.055464524,37.10123903
Road Carnage,2017,12,16,21,46,Uhuru Park,-1.288523315,36.81737861
Armed Robbery,2020,7,4,1,6,Kahawa West,-1.181697376,36.90348517
Sexual Assault,2017,8,26,22,45,Githurai,-1.203965613,36.91241157
Drug Charges,2017,6,10,6,48,Ngong,-1.349746111,36.65120556
Armed Robbery,2018,9,26,3,54,Kibera,-1.313956462,36.79674767
Armed Robbery,2019,4,14,2,16,Githurai,-1.203064589,36.9597901
Pick Pocketing,2017,4,20,23,33,Parklands,-1.260482383,36.80860436
Armed Robbery,2018,9,14,4,11,Kahawa West,-1.188605268,36.89691913
Road Carnage,2017,9,6,24,2,Ngong,-1.349746111,36.65120556
Drug Charges,2017,12,25,4,31,Thika,-1.03581257,37.08390123
Carjacking,2017,12,27,13,46,Parklands,-1.260482383,36.80860436
Terrorism,2020,9,5,8,12,UpperHill,-1.298549527,36.81274569
Road Carnage,2019,3,7,3,17,Uhuru Park,-1.288523315,36.81737861
Fraud,2018,2,8,10,14,Thika,-1.028089061,37.06853754
Armed Robbery,2020,6,8,24,1,UpperHill,-1.30067329,36.81582487
Pick Pocketing,2019,2,14,9,41,South B,-1.315525825,36.83550016
Carjacking,2018,12,2,24,37,Kibera,-1.314278242,36.79372214
Armed Robbery,2018,5,4,18,34,Ngong,-1.361415817,36.66742756
Sexual Assault,2019,12,24,23,11,UpperHill,-1.30067329,36.81582487
Road Carnage,2020,1,16,22,19,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2020,3,16,14,9,Githurai,-1.210787637,36.91850554
Pick Pocketing,2017,5,7,5,26,Parklands,-1.25514071,36.80907643
Sexual Assault,2017,12,10,11,38,Kahawa West,-1.181697376,36.90348517
Sexual Assault,2019,1,15,18,59,Kahawa West,-1.188605268,36.89691913
Sexual Assault,2018,7,15,14,41,Parklands,-1.259163055,36.8206743
Pick Pocketing,2018,3,24,14,54,Uhuru Park,-1.288523315,36.81737861
Road Carnage,2020,6,21,5,13,UpperHill,-1.298549527,36.81274569
Road Carnage,2017,5,28,3,35,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2020,8,11,6,36,Kibera,-1.310631395,36.79153345
Terrorism,2020,7,7,17,1,South C,-1.309374327,36.82633747
Armed Robbery,2018,2,20,5,25,Uhuru Park,-1.288523315,36.81737861
Drug Charges,2020,12,30,19,46,Parklands,-1.261286851,36.81704796
Carjacking,2018,7,3,21,51,Uhuru Park,-1.288523315,36.81737861
Armed Robbery,2017,5,6,0,28,Githurai,-1.210787637,36.91850554
Sexual Assault,2018,2,14,18,39,Githurai,-1.210787637,36.91850554
Pick Pocketing,2017,5,9,19,42,Parklands,-1.25514071,36.80907643
Fraud,2020,5,1,10,45,Githurai,-1.203064589,36.9597901
Armed Robbery,2018,6,2,16,40,Uhuru Park,-1.288523315,36.81737861
Road Carnage,2020,5,15,15,26,South B,-1.309873212,36.83713094
Road Carnage,2017,7,7,15,6,Kibera,-1.310631395,36.79153345
Road Carnage,2020,11,3,16,53,Kibera,-1.313377257,36.79784201
Terrorism,2017,10,8,22,49,South B,-1.309572883,36.83095113
Drug Charges,2017,9,1,6,12,Kahawa West,-1.188605268,36.89691913
Terrorism,2019,7,31,5,50,Githurai,-1.204866636,36.92777526
Fraud,2018,4,3,15,15,South C,-1.327222385,36.83938373
Road Carnage,2017,3,3,16,0,Kibera,-1.310631395,36.79153345
Armed Robbery,2017,2,4,12,60,Thika,-1.03581257,37.08390123
Armed Robbery,2020,4,24,3,3,Ngong,-1.375659647,36.6759248
Pick Pocketing,2017,10,19,5,33,Kibera,-1.3159515,36.79043911
Drug Charges,2019,8,22,18,46,Thika,-1.028089061,37.06853754
Fraud,2017,1,8,11,58,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2018,3,30,6,10,Kahawa West,-1.188605268,36.89691913
Carjacking,2020,7,28,12,55,South C,-1.327136577,36.82569374
Fraud,2018,9,14,23,14,UpperHill,-1.299707944,36.80938757
Terrorism,2020,7,23,3,2,Kibera,-1.3159515,36.79043911
Armed Robbery,2017,1,29,11,6,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2017,3,27,1,20,Uhuru Park,-1.29116194,36.81595167
Carjacking,2017,7,8,5,49,Ngong,-1.366907424,36.67197658
Sexual Assault,2017,2,9,13,28,Thika,-1.055464524,37.10123903
Carjacking,2018,10,15,4,27,South C,-1.312034383,36.82256092
Terrorism,2020,6,1,17,7,South B,-1.309572883,36.83095113
Pick Pocketing,2019,6,13,1,32,Uhuru Park,-1.2903935,36.8165834
Pick Pocketing,2020,7,7,18,60,Kibera,-1.313377257,36.79784201
Road Carnage,2018,2,4,12,30,Kahawa West,-1.186717399,36.9032706
Pick Pocketing,2018,12,8,20,44,Kahawa West,-1.186717399,36.9032706
Road Carnage,2017,1,7,7,2,Uhuru Park,-1.288523315,36.81737861
Pick Pocketing,2020,7,12,0,60,Uhuru Park,-1.288523315,36.81737861
Pick Pocketing,2019,4,27,9,24,Ngong,-1.375659647,36.6759248
Road Carnage,2017,5,19,15,20,Githurai,-1.210787637,36.91850554
Road Carnage,2017,11,11,16,45,Ngong,-1.349746111,36.65120556
Road Carnage,2017,5,7,14,46,Parklands,-1.261286851,36.81704796
Drug Charges,2020,1,7,19,10,Uhuru Park,-1.288523315,36.81737861
Terrorism,2018,8,26,19,30,South C,-1.327136577,36.82569374
Road Carnage,2017,8,21,16,19,Parklands,-1.259163055,36.8206743
Drug Charges,2018,7,24,24,22,Kibera,-1.313956462,36.79674767
Terrorism,2019,9,4,9,31,Parklands,-1.25514071,36.80907643
Carjacking,2018,10,4,12,15,Uhuru Park,-1.288523315,36.81737861
Fraud,2018,5,8,6,48,South B,-1.315525825,36.83550016
Terrorism,2020,2,22,6,49,Uhuru Park,-1.29116194,36.81595167
Pick Pocketing,2019,4,10,16,60,Kahawa West,-1.188605268,36.89691913
Fraud,2019,11,12,21,53,Kibera,-1.310631395,36.79153345
Fraud,2018,8,9,0,55,Kibera,-1.313377257,36.79784201
Terrorism,2019,12,19,19,40,Ngong,-1.375659647,36.6759248
Sexual Assault,2017,9,8,16,18,Thika,-1.028089061,37.06853754
Armed Robbery,2018,7,12,12,51,UpperHill,-1.298549527,36.81274569
Terrorism,2017,5,27,18,10,South B,-1.309873212,36.83713094
Armed Robbery,2019,10,20,3,4,Kahawa West,-1.181697376,36.90348517
Sexual Assault,2018,12,12,16,11,South B,-1.315525825,36.83550016
Fraud,2019,3,11,1,58,Thika,-1.03581257,37.08390123
Fraud,2017,8,2,10,5,Kibera,-1.314278242,36.79372214
Fraud,2018,2,26,20,29,Kahawa West,-1.186717399,36.9032706
Carjacking,2017,7,31,3,47,Kibera,-1.310631395,36.79153345
Drug Charges,2018,6,10,1,40,South C,-1.312034383,36.82256092
Sexual Assault,2017,8,20,4,2,South C,-1.309374327,36.82633747
Carjacking,2020,10,20,9,42,Ngong,-1.361415817,36.66742756
Road Carnage,2017,1,13,14,10,Ngong,-1.366907424,36.67197658
Armed Robbery,2018,5,29,17,3,Thika,-1.055464524,37.10123903
Fraud,2020,12,24,23,25,Ngong,-1.349746111,36.65120556
Sexual Assault,2018,10,15,1,24,Ngong,-1.375659647,36.6759248
Carjacking,2018,11,7,7,42,Kibera,-1.3159515,36.79043911
Sexual Assault,2018,12,13,21,56,Parklands,-1.259163055,36.8206743
Terrorism,2018,3,9,15,4,Kibera,-1.313956462,36.79674767
Road Carnage,2017,12,14,19,3,UpperHill,-1.298163388,36.81816375
Road Carnage,2017,6,4,10,53,Kahawa West,-1.186717399,36.9032706
Terrorism,2018,4,31,20,9,Githurai,-1.210787637,36.91850554
Road Carnage,2017,6,7,6,7,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2019,3,13,6,60,Kahawa West,-1.181697376,36.90348517
Sexual Assault,2017,3,17,17,0,Thika,-1.028089061,37.06853754
Armed Robbery,2020,4,14,16,13,Thika,-1.048427594,37.07454568
Pick Pocketing,2018,10,24,7,51,Parklands,-1.260482383,36.80860436
Fraud,2018,5,29,19,8,Parklands,-1.25514071,36.80907643
Carjacking,2017,12,9,2,60,South C,-1.312034383,36.82256092
Terrorism,2019,11,12,15,57,Kibera,-1.313956462,36.79674767
Sexual Assault,2018,7,23,8,50,Parklands,-1.259163055,36.8206743
Fraud,2018,5,14,8,42,Uhuru Park,-1.291912768,36.81687435
Sexual Assault,2017,8,2,20,26,South C,-1.327136577,36.82569374
Fraud,2020,10,8,13,51,UpperHill,-1.299707944,36.80938757
Carjacking,2017,5,27,0,14,Ngong,-1.361415817,36.66742756
Armed Robbery,2020,6,2,15,39,Parklands,-1.25514071,36.80907643
Terrorism,2020,10,30,4,46,Parklands,-1.261286851,36.81704796
Armed Robbery,2020,2,10,2,1,Thika,-1.048427594,37.07454568
Drug Charges,2018,7,1,6,50,Parklands,-1.260482383,36.80860436
Drug Charges,2017,8,12,4,14,Parklands,-1.260482383,36.80860436
Road Carnage,2019,4,7,1,20,South C,-1.312034383,36.82256092
Fraud,2017,1,11,3,54,Kibera,-1.310631395,36.79153345
Carjacking,2018,1,8,11,2,Thika,-1.055464524,37.10123903
Pick Pocketing,2017,1,9,3,34,South C,-1.312034383,36.82256092
Armed Robbery,2018,6,19,24,13,Parklands,-1.261286851,36.81704796
Pick Pocketing,2018,2,13,19,45,Parklands,-1.25514071,36.80907643
Armed Robbery,2020,2,1,22,37,Parklands,-1.25514071,36.80907643
Pick Pocketing,2020,12,30,0,25,South B,-1.314378142,36.83863298
Terrorism,2017,2,26,7,25,South B,-1.314378142,36.83863298
Sexual Assault,2020,11,6,1,31,South C,-1.312034383,36.82256092
Fraud,2019,7,15,22,19,Ngong,-1.366907424,36.67197658
Road Carnage,2019,5,14,23,17,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2020,3,8,0,39,Kibera,-1.310631395,36.79153345
Sexual Assault,2017,10,3,12,13,Kahawa West,-1.181697376,36.90348517
Armed Robbery,2020,2,19,3,33,UpperHill,-1.299707944,36.80938757
Sexual Assault,2018,10,2,24,14,Uhuru Park,-1.291912768,36.81687435
Pick Pocketing,2020,8,24,13,29,UpperHill,-1.299707944,36.80938757
Terrorism,2019,1,24,0,9,Uhuru Park,-1.29116194,36.81595167
Pick Pocketing,2020,10,27,13,13,Kibera,-1.314278242,36.79372214
Drug Charges,2018,11,7,14,6,Ngong,-1.375659647,36.6759248
Armed Robbery,2018,7,12,18,1,Uhuru Park,-1.291912768,36.81687435
Carjacking,2019,2,28,3,31,South C,-1.312034383,36.82256092
Pick Pocketing,2020,5,4,22,5,South C,-1.312034383,36.82256092
Terrorism,2019,5,10,13,40,South B,-1.309873212,36.83713094
Carjacking,2018,1,23,23,56,Kahawa West,-1.181697376,36.90348517
Carjacking,2018,9,7,18,17,Githurai,-1.203064589,36.9597901
Fraud,2020,6,6,17,36,Parklands,-1.259163055,36.8206743
Carjacking,2020,4,16,23,49,South C,-1.327136577,36.82569374
Armed Robbery,2019,8,26,1,29,South C,-1.327222385,36.83938373
Road Carnage,2018,2,12,4,2,Kahawa West,-1.187060648,36.8999232
Sexual Assault,2018,6,8,5,5,Uhuru Park,-1.288523315,36.81737861
Carjacking,2018,3,22,23,2,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2018,5,17,7,29,Kibera,-1.313956462,36.79674767
Fraud,2019,6,9,11,56,Uhuru Park,-1.29116194,36.81595167
Terrorism,2018,4,19,1,32,Kibera,-1.3159515,36.79043911
Armed Robbery,2018,1,19,14,22,Uhuru Park,-1.29116194,36.81595167
Fraud,2018,2,29,5,59,Ngong,-1.361415817,36.66742756
Road Carnage,2017,6,1,22,49,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2020,12,26,9,20,South C,-1.309374327,36.82633747
Carjacking,2018,1,22,18,41,South B,-1.309572883,36.83095113
Terrorism,2017,11,10,14,14,South C,-1.327136577,36.82569374
Sexual Assault,2018,12,25,14,54,Kahawa West,-1.181697376,36.90348517
Pick Pocketing,2020,1,10,13,34,UpperHill,-1.299707944,36.80938757
Road Carnage,2017,10,23,19,22,Githurai,-1.210787637,36.91850554
Sexual Assault,2020,7,14,7,23,Ngong,-1.361415817,36.66742756
Terrorism,2017,4,8,6,29,Thika,-1.028089061,37.06853754
Armed Robbery,2018,2,29,10,8,Thika,-1.03581257,37.08390123
Carjacking,2020,11,25,2,31,Uhuru Park,-1.291912768,36.81687435
Pick Pocketing,2020,5,25,16,16,Uhuru Park,-1.291912768,36.81687435
Carjacking,2017,8,16,24,31,Uhuru Park,-1.291912768,36.81687435
Terrorism,2020,12,16,12,31,Uhuru Park,-1.291912768,36.81687435
Fraud,2017,10,20,20,57,South C,-1.327136577,36.82569374
Armed Robbery,2020,2,8,12,24,Kibera,-1.313377257,36.79784201
Armed Robbery,2019,12,22,24,14,Githurai,-1.203965613,36.91241157
Armed Robbery,2017,4,10,6,17,Thika,-1.028089061,37.06853754
Pick Pocketing,2017,2,25,1,41,Uhuru Park,-1.288523315,36.81737861
Sexual Assault,2018,4,31,18,57,Githurai,-1.210787637,36.91850554
Road Carnage,2020,12,19,17,33,South B,-1.314378142,36.83863298
Road Carnage,2019,12,8,8,54,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2019,5,2,6,6,South B,-1.315525825,36.83550016
Drug Charges,2020,7,10,11,4,Thika,-1.03581257,37.08390123
Drug Charges,2017,10,10,14,54,Githurai,-1.203064589,36.9597901
Drug Charges,2018,8,6,15,28,Parklands,-1.25514071,36.80907643
Pick Pocketing,2020,10,14,1,7,Kahawa West,-1.187060648,36.8999232
Drug Charges,2018,10,3,24,24,South C,-1.327222385,36.83938373
Armed Robbery,2018,1,4,1,44,South B,-1.309873212,36.83713094
Drug Charges,2020,12,8,4,43,South B,-1.309572883,36.83095113
Fraud,2020,4,1,7,51,Thika,-1.028089061,37.06853754
Terrorism,2019,7,15,15,46,South B,-1.309873212,36.83713094
Fraud,2017,11,20,0,60,South C,-1.312034383,36.82256092
Sexual Assault,2018,1,12,14,5,Githurai,-1.203064589,36.9597901
Armed Robbery,2019,5,27,20,30,South C,-1.327222385,36.83938373
Road Carnage,2018,6,22,9,5,South C,-1.309374327,36.82633747
Sexual Assault,2018,6,6,0,13,South C,-1.315895748,36.82659496
Road Carnage,2020,4,28,4,25,Ngong,-1.375659647,36.6759248
Sexual Assault,2020,10,28,19,0,Kahawa West,-1.186717399,36.9032706
Road Carnage,2019,7,7,8,6,South C,-1.315895748,36.82659496
Terrorism,2018,11,20,15,51,Kibera,-1.313956462,36.79674767
Road Carnage,2019,1,27,12,41,Githurai,-1.203965613,36.91241157
Armed Robbery,2017,4,16,12,38,South C,-1.327222385,36.83938373
Sexual Assault,2019,10,24,17,0,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2018,8,20,22,10,Parklands,-1.261286851,36.81704796
Terrorism,2020,9,8,19,50,Kibera,-1.313377257,36.79784201
Terrorism,2017,4,24,6,45,UpperHill,-1.30067329,36.81582487
Armed Robbery,2019,10,3,18,22,Kahawa West,-1.187060648,36.8999232
Drug Charges,2018,11,9,16,50,Uhuru Park,-1.29116194,36.81595167
Drug Charges,2020,9,25,18,30,South C,-1.327136577,36.82569374
Drug Charges,2018,5,19,21,37,Githurai,-1.203965613,36.91241157
Sexual Assault,2018,2,13,18,3,Parklands,-1.25514071,36.80907643
Sexual Assault,2019,10,26,21,47,Githurai,-1.210787637,36.91850554
Sexual Assault,2018,10,4,11,20,Uhuru Park,-1.2903935,36.8165834
Drug Charges,2017,7,29,22,2,South B,-1.315525825,36.83550016
Fraud,2018,6,10,13,11,Parklands,-1.260482383,36.80860436
Carjacking,2017,12,26,14,39,Kahawa West,-1.186717399,36.9032706
Road Carnage,2017,2,8,23,37,UpperHill,-1.30067329,36.81582487
Carjacking,2018,9,18,24,29,Uhuru Park,-1.29116194,36.81595167
Road Carnage,2020,1,4,7,44,Uhuru Park,-1.29116194,36.81595167
Carjacking,2020,12,6,12,10,Ngong,-1.375659647,36.6759248
Sexual Assault,2019,1,23,2,21,Ngong,-1.375659647,36.6759248
Road Carnage,2017,5,1,17,56,Parklands,-1.25514071,36.80907643
Road Carnage,2019,1,7,18,18,Kahawa West,-1.188605268,36.89691913
Road Carnage,2017,8,2,11,16,Githurai,-1.203965613,36.91241157
Pick Pocketing,2020,6,27,16,13,South C,-1.315895748,36.82659496
Armed Robbery,2018,3,17,4,10,Parklands,-1.261286851,36.81704796
Fraud,2019,4,9,13,4,UpperHill,-1.298549527,36.81274569
Carjacking,2019,8,10,16,56,Parklands,-1.261286851,36.81704796
Carjacking,2017,7,24,7,28,Thika,-1.028089061,37.06853754
Sexual Assault,2017,3,3,5,58,Githurai,-1.203965613,36.91241157
Terrorism,2020,2,6,12,44,Ngong,-1.349746111,36.65120556
Drug Charges,2019,8,29,14,56,South C,-1.327222385,36.83938373
Terrorism,2017,6,28,3,43,Ngong,-1.361415817,36.66742756
Fraud,2018,12,10,21,4,UpperHill,-1.298163388,36.81816375
Armed Robbery,2017,9,6,16,44,UpperHill,-1.298163388,36.81816375
Armed Robbery,2017,1,14,23,13,South C,-1.315895748,36.82659496
Terrorism,2017,6,15,18,58,UpperHill,-1.30067329,36.81582487
Pick Pocketing,2018,7,23,23,38,Kahawa West,-1.181697376,36.90348517
Sexual Assault,2018,1,7,14,30,Parklands,-1.259163055,36.8206743
Carjacking,2019,12,12,16,46,Parklands,-1.260482383,36.80860436
Pick Pocketing,2017,8,27,15,42,Kibera,-1.313377257,36.79784201
Pick Pocketing,2019,6,9,20,15,Kibera,-1.310631395,36.79153345
Carjacking,2019,7,9,15,13,South C,-1.327136577,36.82569374
Terrorism,2020,3,16,16,41,Uhuru Park,-1.291912768,36.81687435
Terrorism,2017,7,29,19,44,Githurai,-1.203064589,36.9597901
Road Carnage,2017,12,27,10,31,Thika,-1.048427594,37.07454568
Carjacking,2017,6,26,0,9,Kahawa West,-1.181697376,36.90348517
Pick Pocketing,2017,9,18,8,32,Kibera,-1.313956462,36.79674767
Armed Robbery,2019,4,11,18,26,Kahawa West,-1.181697376,36.90348517
Carjacking,2018,8,16,21,8,Parklands,-1.259163055,36.8206743
Pick Pocketing,2020,9,22,15,53,South B,-1.314378142,36.83863298
Carjacking,2019,12,25,15,35,Githurai,-1.203965613,36.91241157
Sexual Assault,2020,10,19,7,9,Kibera,-1.310631395,36.79153345
